"0.760","66.6676979","-1.39683400","1.22594012","100.000000","0.000000","28.330112","0.75000000","51.04691","65.0182374","0.8876547","0.283","183.378608"
"0.780","66.6911475","-1.57310037","1.19478569","100.000000","0.000000","28.326266","0.75000000","52.38027","65.0174822","0.9108405","0.283","183.378608"
"0.800","66.7169408","-1.34318565","1.37040656","100.000000","0.000000","28.294789","0.75000000","53.71410","65.0167296","0.9340345","0.283","183.378608"
"0.820","66.7467840","-1.58342280","1.54172819","100.000000","0.000000","28.300332","0.75000000","55.04858","65.0159693","0.9572398","0.283","183.378608"
"0.840","66.7788787","-1.52249815","1.35740404","100.000000","0.000000","28.317678","0.75000000","56.38366","65.0152141","0.9804554","0.283","183.378608"
"0.860","66.8061926","-1.46799062","1.30214872","100.000000","0.000000","28.314616","0.75000000","57.71929","65.0144653","1.0036808","0.283","183.378608"
"0.880","66.8284032","-1.29718212","1.11811143","100.000000","0.000000","28.297244","0.75000000","59.05538","65.0137075","1.0269140","0.237","183.378608"
"0.900","66.8538304","-1.14385613","1.42990440","100.000000","0.000000","28.287111","0.75000000","60.39188","65.0129536","1.0501544","0.226","183.378608"
"0.920","66.8828659","-0.91663318","1.44023042","100.000000","0.000000","28.291036","0.75000000","61.72893","65.0121946","1.0734044","0.226","183.378608"
"0.940","66.9081536","-0.88590494","1.15241283","100.000000","0.000000","28.288900","0.75000000","63.06655","65.0114445","1.0966642","0.248","183.378608"
"0.960","66.9294963","-0.78295127","1.09397885","100.000000","0.000000","28.257790","0.75000000","64.40461","65.0106957","1.1199317","0.281","183.378608"
"0.980","66.9551680","-0.72615048","1.28276679","100.000000","0.000000","28.236557","0.75000000","65.74309","65.0099379","1.1432065","0.281","183.378608"
"1.000","66.9828480","-0.56420572","1.33174168","100.000000","0.000000","28.254527","0.75000000","67.08207","65.0091840","1.1664902","0.281","183.378608"
"1.020","67.0119590","-0.60947521","1.37366196","100.000000","0.000000","28.251557","0.75000000","68.42166","65.0084262","1.1897844","0.281","183.378608"
"1.040","67.0365760","-0.69042100","1.18091402","100.000000","0.000000","28.238572","0.75000000","69.76178","65.0076787","1.2130876","0.281","183.378608"
"1.060","67.0634022","-0.88155728","1.34639203","100.000000","0.000000","28.237281","0.75000000","71.10234","65.0069261","1.2363986","0.281","183.438608"
"1.080","67.0891354","-0.79027731","1.23471572","100.000000","0.000000","28.248734","0.75000000","72.44341","65.0061734","1.2597184","0.281","183.478608"
"1.100","67.1114752","-0.89736054","0.94634643","100.000000","0.000000","28.244567","0.75000000","73.78496","65.0054144","1.2830467","0.281","183.478608"
"1.120","67.1313459","-0.56875930","0.99512413","100.000000","0.000000","28.225048","0.75000000","75.12694","65.0046682","1.3063824","0.281","183.478608"
"1.140","67.1542758","-0.36490038","1.27846553","100.000000","0.000000","28.220824","0.75000000","76.46929","65.0039155","1.3297246","0.281","183.478608"
"1.160","67.1791859","-0.48015236","1.22178546","100.000000","0.000000","28.227625","0.75000000","77.81210","65.0031590","1.3530747","0.281","183.478608"
"1.180","67.2018880","-0.45256001","1.08256281","100.000000","0.000000","28.222277","0.75000000","79.15541","65.0024038","1.3764334","0.281","183.478608"
"1.200","67.2227456","-0.37990372","0.92856060","100.000000","0.000000","28.201176","0.75000000","80.49917","65.0016576","1.3997999","0.281","183.478608"
"1.220","67.2428749","-0.51544830","1.05850298","100.000000","0.000000","28.187553","0.75000000","81.84330","65.0009050","1.4231732","0.280","183.478608"
"1.240","67.2633574","-0.20859459","1.07204020","100.000000","0.000000","28.174540","0.75000000","83.18778","65.0001523","1.4465523","0.280","183.478608"
"1.260","67.2863898","-0.39043463","1.19244531","100.000000","0.000000","28.163795","0.75000000","84.53269","64.9994035","1.4699390","0.280","183.478608"
"1.280","67.3141222","-0.35920401","1.39204355","100.000000","0.000000","28.167658","0.75000000","85.87808","64.9986534","1.4933339","0.280","183.478608"
"1.300","67.3394752","-0.64228226","1.14394204","100.000000","0.000000","28.188291","0.75000000","87.22399","64.9979008","1.5167379","0.280","183.478608"
"1.320","67.3622630","-0.68147249","1.17654004","100.000000","0.000000","28.180914","0.75000000","88.57045","64.9971494","1.5401514","0.280","183.478608"
"1.340","67.3860045","-0.55979065","1.09114112","100.000000","0.000000","28.168886","0.75000000","89.91734","64.9964019","1.5635726","0.280","183.478608"
"1.360","67.4056691","-0.54276497","1.04553378","100.000000","0.000000","28.171583","0.75000000","91.26468","64.9956493","1.5870014","0.280","183.538608"
"1.380","67.4247642","-0.55936021","1.13476799","100.000000","0.000000","28.151344","0.75000000","92.61239","64.9948966","1.6104366","0.280","183.578608"
"1.400","67.4457472","-0.19542932","1.05683730","100.000000","0.000000","28.133140","0.75000000","93.96137","64.9941504","1.6338942","0.280","183.578608"
"1.420","67.4697408","-0.52320577","1.28835305","100.000000","0.000000","28.140904","0.75000000","95.31119","64.9933978","1.6573662","0.280","183.578608"
"1.440","67.4929446","-0.64863886","1.10414470","100.000000","0.000000","28.141415","0.75000000","96.66137","64.9926451","1.6808447","0.280","183.578608"
"1.460","67.5149709","-0.66094111","1.12906217","100.000000","0.000000","28.124936","0.75000000","98.01194","64.9918963","1.7043296","0.280","183.578608"
"1.480","67.5371507","-0.67459075","1.28345614","100.000000","0.000000","28.122360","0.75000000","99.36292","64.9911462","1.7278217","0.280","183.578608"
"1.500","67.5571456","-0.50244578","0.89252978","100.000000","0.000000","28.127549","0.75000000","100.71431","64.9903936","1.7513210","0.280","183.578608"
"1.520","67.5805453","-0.44270481","1.20293231","100.000000","0.000000","28.105355","0.75000000","102.06620","64.9896422","1.7748290","0.279","183.578608"
"1.540","67.6010970","-0.42365688","1.01859180","100.000000","0.000000","28.099940","0.75000000","103.41851","64.9888947","1.7983445","0.279","183.578608"
