"0.000","64.2484032","-0.83306362","1.11170885","100.000000","0.0000000","25.2568836","0.75000000","1.03023"
"0.020","64.2703322","-0.64423118","1.05865280","100.000000","0.0000000","25.2776306","0.75000000","2.32096"
"0.040","64.3004301","-0.77693217","1.54588097","100.000000","0.0000000","25.2914254","0.75000000","3.61216"
"0.060","64.3286426","-0.75521259","1.33878784","100.000000","0.0000000","25.2750596","0.75000000","4.90387"
"0.080","64.3524915","-0.74460505","1.09788390","100.000000","0.0000000","25.3071676","0.75000000","6.19603"
"0.100","64.3848896","-0.95029449","1.62053464","100.000000","0.0000000","25.3445831","0.75000000","7.48867"
"0.120","64.4110003","-0.88322180","1.35189088","100.000000","0.0000000","25.2925717","0.75000000","8.78195"
"0.140","64.4428544","-1.01099451","1.43457814","100.000000","0.0000000","25.3174279","0.75000000","10.07573"
"0.160","64.4705523","-0.94506945","1.30179364","100.000000","0.0000000","25.3178023","0.75000000","11.37002"
"0.180","64.5004173","-0.93960373","1.42272896","100.000000","0.0000000","25.3017902","0.75000000","12.66484"
"0.200","64.5252608","-0.84855587","0.85067911","100.000000","0.0000000","25.3167591","0.75000000","13.96009"
"0.220","64.5512384","-0.91175706","1.38042826","100.000000","0.0000000","25.3485188","0.75000000","15.25587"
"0.240","64.5818637","-1.16753631","1.39566925","100.000000","0.0000000","25.3354009","0.75000000","16.55213"
"0.260","64.6124493","-1.34601183","1.32458604","100.000000","0.0000000","25.3287492","0.75000000","17.84894"
"0.280","64.6404506","-1.41398825","1.37960210","100.000000","0.0000000","25.3301067","0.75000000","19.14626"
"0.300","64.6705920","-1.48057714","1.26209523","100.000000","0.0000000","25.3278524","0.75000000","20.44410"
"0.320","64.6942323","-1.21028739","1.14597468","100.000000","0.0000000","25.3257678","0.75000000","21.74251"
"0.340","64.7208589","-1.32709890","1.14858227","100.000000","0.0000000","25.3528235","0.75000000","23.04131"
"0.360","64.7473587","-0.98857717","1.31280523","100.000000","0.0000000","25.3443968","0.75000000","24.34057"
"0.380","64.7742490","-1.14505968","1.24428168","100.000000","0.0000000","25.3473529","0.75000000","25.64030"
"0.400","64.7945280","-0.85717847","1.02160464","100.000000","0.0000000","25.3780516","0.75000000","26.94054"
"0.420","64.8260224","-0.77586540","1.76176027","100.000000","0.0000000","25.4151097","0.75000000","28.23947"
"0.440","64.8565069","-0.76415971","1.29367685","100.000000","0.0000000","25.3504967","0.75000000","29.53881"
"0.460","64.8837862","-0.65842091","1.23608105","100.000000","0.0000000","25.3840882","0.75000000","30.83776"
"0.480","64.9090483","-0.64560946","1.15392107","100.000000","0.0000000","25.3986844","0.75000000","32.13640"
"0.500","64.9408448","-0.81960516","1.67507188","100.000000","0.0000000","25.3744142","0.75000000","33.43552"
"0.520","64.9682138","-0.63530357","1.16439471","100.000000","0.0000000","25.3816309","0.75000000","34.73520"
"0.540","64.9949402","-0.51011535","1.21153980","100.000000","0.0000000","25.3833148","0.75000000","36.03535"
"0.560","65.0202458","-0.46067058","1.02936320","100.000000","0.0000000","25.3914450","0.75000000","37.33592"
"0.580","65.0442432","-0.34597088","1.27314593","100.000000","0.0000000","25.4060555","0.75000000","38.63693"
"0.600","65.0730304","-0.47519398","1.11731943","100.000000","0.0000000","25.4242560","0.75000000","39.93838"
"0.620","65.0991398","-0.45479312","1.41394871","100.000000","0.0000000","25.4087982","0.75000000","41.24040"
"0.640","65.1278426","-0.36293884","1.26549788","100.000000","0.0000000","25.4216501","0.75000000","42.54290"
"0.660","65.1545613","-0.35934242","1.22784981","100.000000","0.0000000","25.4213291","0.75000000","43.84583"
"0.680","65.1822707","0.01572287","1.47529043","100.000000","0.0000000","25.4227186","0.75000000","45.14926"
"0.700","65.2064832","-0.11159195","1.20533099","100.000000","0.0000000","25.4306418","0.75000000","46.45311"
"0.720","65.2352205","-0.16779244","1.36192591","100.000000","0.0000000","25.4439673","0.75000000","47.75752"
"0.740","65.2617754","0.00797928","1.21895908","100.000000","0.0000000","25.4254436","0.75000000","49.06239"
"0.760","65.2831104","-0.22093304","0.98768516","100.000000","0.0000000","25.4490617","0.75000000","50.36766"
"0.780","65.3098496","0.09634616","1.37049225","100.000000","0.0000000","25.5111993","0.75000000","51.67331"
"0.800","65.3389568","-0.18717888","1.56271884","100.000000","0.0000000","25.4351431","0.75000000","52.97950"
"0.820","65.3719526","-0.24860610","1.24093705","100.000000","0.0000000","25.4577120","0.75000000","54.28635"
"0.840","65.3980774","0.01262389","1.18192293","100.000000","0.0000000","25.4567598","0.75000000","55.59369"
"0.860","65.4243277","-0.03948862","1.16430761","100.000000","0.0000000","25.4517422","0.75000000","56.90148"
"0.880","65.4484762","-0.03973214","1.12909122","100.000000","0.0000000","25.4816423","0.75000000","58.20964"
"0.900","65.4770432","-0.04893902","1.57228454","100.000000","0.0000000","25.4699093","0.75000000","59.51829"
"0.920","65.5011597","0.00970964","1.11289469","100.000000","0.0000000","25.4681116","0.75000000","60.82751"
"0.940","65.5277965","-0.07991743","1.27196816","100.000000","0.0000000","25.4930930","0.75000000","62.13713"
"0.960","65.5538586","0.01442513","1.22541396","100.000000","0.0000000","25.4915228","0.75000000","63.44721"
"0.980","65.5809946","-0.01711561","1.34546248","100.000000","0.0000000","25.4897749","0.75000000","64.75774"
"1.000","65.6055936","0.22163740","0.87959059","100.000000","0.0000000","25.4991431","0.75000000","66.06877"
"1.020","65.6337344","0.14265631","1.42243458","100.000000","0.0000000","25.5132206","0.75000000","67.38029"
